,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
143,KEGG_2021_Human,Hepatocellular carcinoma,1/168,0.8426084298097355,0.9412860431415788,0,0,0.5412676950246972,0.0926936759625091,TCF7L2
144,KEGG_2021_Human,Protein processing in endoplasmic reticulum,1/171,0.8477420885436578,0.9412860431415788,0,0,0.5316345893195988,0.0878147796208141,DDIT3
155,KEGG_2021_Human,Parkinson disease,1/249,0.9358242976799006,0.9618221716404344,0,0,0.3629775531440464,0.0240754068247622,DDIT3
154,KEGG_2021_Human,Shigellosis,1/246,0.9336518039861008,0.9618221716404344,0,0,0.3674786043449637,0.0252280349927644,CXCL8
153,KEGG_2021_Human,Calcium signaling pathway,1/240,0.9290847684084188,0.9618221716404344,0,0,0.3768196980506334,0.027717084952449,PTAFR
152,KEGG_2021_Human,Chemical carcinogenesis,1/239,0.9282937394511112,0.9618221716404344,0,0,0.3784223366766061,0.0281572960458346,UGT2B11
151,KEGG_2021_Human,Thermogenesis,1/232,0.9225051028118892,0.9618221716404344,0,0,0.3900293255131964,0.0314606903813889,ACSL1
147,KEGG_2021_Human,Diabetic cardiomyopathy,1/203,0.8931371342569874,0.9618221716404344,0,0,0.4466852215175435,0.0504821946764129,MMP9
149,KEGG_2021_Human,Regulation of actin cytoskeleton,1/218,0.90949566054026,0.9618221716404344,0,0,0.4154898171547495,0.0394154632320057,ITGB8
148,KEGG_2021_Human,Amyotrophic lateral sclerosis,2/364,0.9092513282971344,0.9618221716404344,0,0,0.4967260077757315,0.0472554000162717,DDIT3;SLC1A2
146,KEGG_2021_Human,Viral carcinogenesis,1/203,0.8931371342569874,0.9618221716404344,0,0,0.4466852215175435,0.0504821946764129,EGR3
145,KEGG_2021_Human,Pathogenic Escherichia coli infection,1/197,0.8857978014471947,0.9618221716404344,0,0,0.4605003291639236,0.0558432951680899,CXCL8
156,KEGG_2021_Human,Endocytosis,1/252,0.9379259686183116,0.9618221716404344,0,0,0.3585840967925532,0.0229795957034782,LDLR
150,KEGG_2021_Human,Alzheimer disease,2/369,0.9132134895019578,0.9618221716404344,0,0,0.4898324755272984,0.0444697316396586,CSF1;DDIT3
157,KEGG_2021_Human,Prion disease,1/273,0.9508386413557652,0.968892539609356,0,0,0.3305435077256709,0.0166629968488563,DDIT3
159,KEGG_2021_Human,Pathways of neurodegeneration,2/475,0.9672344589761536,0.9732796743447548,0,0,0.3779852791480698,0.0125923349261421,CSF1;DDIT3
158,KEGG_2021_Human,Huntington disease,1/306,0.9659401008907008,0.9732796743447548,0,0,0.2942811815366019,0.010197859402652,SLC1A2
160,KEGG_2021_Human,Herpes simplex virus 1 infection,2/498,0.9736354506265024,0.9736354506265024,0,0,0.3600283751493429,0.0096193555220655,OAS3;HLA-DQB1
